visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize line select date_in_locaton_to , count ( date_in_locaton_to ) from document_locations group by date_in_locaton_to
visualize bar select title , count ( title ) from schedule as t1 join film as t2 on t1 . film_id = t2 . film_id join cinema as t3 on t1 . cinema_id = t3 . cinema_id group by title order by title asc
visualize bar select year , count ( year ) from cars_data order by count ( year ) desc bin year by weekday
visualize bar select formats , count ( * ) from files group by formats order by formats desc
visualize bar select date_moved_in , count ( date_moved_in ) from residents order by count ( date_moved_in ) desc bin date_moved_in by weekday
visualize bar select category , count ( * ) from music_festival group by category order by count ( * ) asc
visualize bar select t2 . customer_first_name , t1 . customer_id from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id order by t1 . customer_id desc
visualize bar select payment_method_code , count ( * ) from customers group by payment_method_code order by payment_method_code desc
visualize bar select job_id , sum ( manager_id ) from employees where hire_date < {value} group by job_id order by sum ( manager_id ) asc
visualize bar select stu_fname , sum ( stu_gpa ) from student where stu_gpa < ( select avg ( stu_gpa ) from student ) group by stu_fname order by stu_fname asc
visualize bar select year , avg ( count ( * ) ) from postseason as t1 join team as t2 on t1 . team_id_winner = t2 . team_id_br where t2 . name = {value} order by avg ( count ( * ) ) desc bin year by weekday
visualize bar select t1 . name , count ( * ) from physician as t1 join patient as t2 on t1 . employeeid = t2 . pcp group by t1 . employeeid order by count ( * ) asc
visualize bar select cname , count ( * ) from tryout group by cname order by count ( * ) desc
visualize bar select headquarter , count ( headquarter ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by count ( headquarter ) desc
visualize bar select preferred_foot , count ( * ) from player_attributes where overall_rating > {value} group by preferred_foot order by count ( * ) desc
visualize scatter select major , count ( * ) from student group by major
visualize bar select date_of_enrolment , count ( date_of_enrolment ) from student_course_enrolment as t1 join student_tests_taken as t2 on t1 . registration_id = t2 . registration_id where t2 . test_result = {value} order by count ( date_of_enrolment ) asc bin date_of_enrolment by weekday
visualize scatter select team_id , school_id from basketball_match group by acc_regular_season
visualize scatter select card_id , customer_id from customers_cards
visualize bar select dept_code , sum ( t1 . crs_credit ) from course as t1 join class as t2 on t1 . crs_code = t2 . crs_code group by t1 . dept_code order by dept_code asc
visualize bar select name , count ( * ) from repair_assignment as t1 join technician as t2 on t1 . technician_id = t2 . technician_id group by t2 . name order by name desc
visualize bar select position , avg ( points ) from player group by position
visualize line select year , count ( year ) from postseason as t1 join team as t2 on t1 . team_id_winner = t2 . team_id_br where t2 . name = {value} order by year asc bin year by year
visualize scatter select address_id , monthly_rental from student_addresses group by other_details order by monthly_rental desc
visualize bar select petid , weight from pets where pet_age > {value} order by petid desc
visualize bar select country , count ( country ) from manager where age > {value} or age < {value} group by country order by country desc
visualize bar select hometown , age from teacher order by age asc
visualize bar select job_id , sum ( employee_id ) from employees where hire_date < {value} group by job_id order by sum ( employee_id ) asc
visualize bar select name , count ( name ) from playlists group by name order by name desc
visualize bar select date , sum ( cloud_cover ) from weather order by sum ( cloud_cover ) asc bin date by weekday
visualize bar select founder , sum ( price ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by sum ( price ) desc
visualize bar select fname , count ( fname ) from student as t1 join lives_in as t2 on t1 . stuid = t2 . stuid join dorm as t3 on t3 . dormid = t2 . dormid where t3 . dorm_name = {value} group by fname order by fname asc
visualize bar select start_station_name , start_station_id from trip order by start_station_id desc
visualize bar select installation_date , count ( installation_date ) from station bin installation_date by year
visualize bar select name , distance from aircraft order by distance asc
visualize bar select job_id , sum ( department_id ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( department_id ) desc
visualize bar select allergytype , count ( allergytype ) from allergy_type as t1 join has_allergy as t2 on t1 . allergy = t2 . allergy join student as t3 on t3 . stuid = t2 . stuid where t3 . fname = {value} group by allergytype
visualize bar select job_id , sum ( salary ) from employees where hire_date < {value} group by job_id order by sum ( salary ) desc
visualize bar select sex , avg ( height ) from people group by sex order by sex asc
